帧编号阶段	帧id	帧名	内容
245	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
246	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
247	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
248	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
249	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
250	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
251	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：9,数据包数:2.传输包的PGN为0x00 00.
252	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
253	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：2.多帧传输下一数据包编号为:1.传输包的PGN为0x001100.
254	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第1包.
255	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第2包.
256	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输结束帧--已传输总字节数：512,数据包数:255.传输包的PGN为0x001100.
257	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
258	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
259	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
260	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
261	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
262	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
263	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
264	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
265	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
266	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：9,数据包数:2.传输包的PGN为0x00 00.
267	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
268	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：2.多帧传输下一数据包编号为:1.传输包的PGN为0x001100.
269	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第1包.
270	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第2包.
271	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输结束帧--已传输总字节数：512,数据包数:255.传输包的PGN为0x001100.
272	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
273	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
274	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
275	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
276	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
277	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
278	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
279	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
280	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
281	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：9,数据包数:2.传输包的PGN为0x00 00.
282	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
283	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：2.多帧传输下一数据包编号为:1.传输包的PGN为0x001100.
284	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第1包.
285	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第2包.
286	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输结束帧--已传输总字节数：512,数据包数:255.传输包的PGN为0x001100.
287	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
288	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
289	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
290	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
291	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
292	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
293	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
294	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
295	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
296	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
297	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
298	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
299	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
300	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
301	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
302	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
303	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
304	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：9,数据包数:2.传输包的PGN为0x00 00.
305	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：2.多帧传输下一数据包编号为:1.传输包的PGN为0x001100.
306	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第1包.
307	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
308	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第2包.
309	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输结束帧--已传输总字节数：512,数据包数:255.传输包的PGN为0x001100.
310	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
311	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
312	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
313	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
314	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
315	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
316	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
317	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
318	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
319	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：9,数据包数:2.传输包的PGN为0x00 00.
320	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
321	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：2.多帧传输下一数据包编号为:1.传输包的PGN为0x001100.
322	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第1包.
323	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第2包.
324	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
325	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输结束帧--已传输总字节数：512,数据包数:255.传输包的PGN为0x001100.
326	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
327	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
328	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
329	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
330	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
331	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
332	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
333	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
334	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：9,数据包数:2.传输包的PGN为0x00 00.
335	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
336	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：2.多帧传输下一数据包编号为:1.传输包的PGN为0x001100.
337	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第1包.
338	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第2包.
339	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输结束帧--已传输总字节数：512,数据包数:255.传输包的PGN为0x001100.
340	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
341	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
342	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
343	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
344	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
345	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
346	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
347	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
348	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
349	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
350	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
351	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
352	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
353	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
354	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
355	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
356	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
357	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
358	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
359	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：9,数据包数:2.传输包的PGN为0x00 00.
360	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：2.多帧传输下一数据包编号为:1.传输包的PGN为0x001100.
361	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第1包.
362	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
363	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第2包.
364	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输结束帧--已传输总字节数：512,数据包数:255.传输包的PGN为0x001100.
365	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
366	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
367	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
368	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
369	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
370	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
371	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
372	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：9,数据包数:2.传输包的PGN为0x00 00.
373	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：2.多帧传输下一数据包编号为:1.传输包的PGN为0x001100.
374	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第1包.
375	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第2包.
376	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
377	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输结束帧--已传输总字节数：512,数据包数:255.传输包的PGN为0x001100.
378	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
379	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
380	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
381	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
382	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
383	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
384	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
385	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
386	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
387	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
388	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：9,数据包数:2.传输包的PGN为0x00 00.
389	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：2.多帧传输下一数据包编号为:1.传输包的PGN为0x001100.
390	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
391	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第1包.
392	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第2包.
393	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输结束帧--已传输总字节数：512,数据包数:255.传输包的PGN为0x001100.
394	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
395	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
396	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
397	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
398	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
399	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
400	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
401	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
402	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
403	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
404	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
405	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
406	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
407	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
408	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
409	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
410	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
411	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
412	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
413	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：9,数据包数:2.传输包的PGN为0x00 00.
414	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：2.多帧传输下一数据包编号为:1.传输包的PGN为0x001100.
415	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第1包.
416	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
417	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第2包.
418	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输结束帧--已传输总字节数：512,数据包数:255.传输包的PGN为0x001100.
419	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
420	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
421	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
422	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
423	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
424	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
425	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
426	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
427	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
428	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：9,数据包数:2.传输包的PGN为0x00 00.
429	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：2.多帧传输下一数据包编号为:1.传输包的PGN为0x001100.
430	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
431	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第1包.
432	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第2包.
433	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输结束帧--已传输总字节数：512,数据包数:255.传输包的PGN为0x001100.
434	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
435	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
436	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
437	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
438	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
439	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
440	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
441	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
442	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
443	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：9,数据包数:2.传输包的PGN为0x00 00.
444	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：2.多帧传输下一数据包编号为:1.传输包的PGN为0x001100.
445	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
446	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第1包.
447	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第2包.
448	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输结束帧--已传输总字节数：512,数据包数:255.传输包的PGN为0x001100.
449	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
450	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
451	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
452	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
453	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
454	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
455	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
456	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
457	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
458	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：9,数据包数:2.传输包的PGN为0x00 00.
459	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：2.多帧传输下一数据包编号为:1.传输包的PGN为0x001100.
460	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第1包.
461	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
462	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第2包.
463	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输结束帧--已传输总字节数：512,数据包数:255.传输包的PGN为0x001100.
